1,"Rio PMP 300 MP3 Player",2.0
2,"Rio PMP 300 MP3 Player",5.0
3,"Rio PMP 300 MP3 Player",4.0
4,"Rio PMP 300 MP3 Player",5.0
5,"Rio PMP 300 MP3 Player",5.0
6,"Rio PMP 300 MP3 Player",5.0
7,"Rio PMP 300 MP3 Player",3.0
8,"Rio PMP 300 MP3 Player",5.0
9,"Rio PMP 300 MP3 Player",1.0
10,"Rio PMP 300 MP3 Player",3.0
11,"RCA RD1000 Kazoo 32 MB MP3 Player",5.0
12,"RCA RD1000 Kazoo 32 MB MP3 Player",4.0
13,"RCA RD1000 Kazoo 32 MB MP3 Player",5.0
14,"RCA RD1000 Kazoo 32 MB MP3 Player",4.0
15,"RCA RD1000 Kazoo 32 MB MP3 Player",1.0
16,"RCA RD1000 Kazoo 32 MB MP3 Player",5.0
17,"RCA RD1000 Kazoo 32 MB MP3 Player",1.0
18,"RCA RD1000 Kazoo 32 MB MP3 Player",2.0
19,"RCA RD1000 Kazoo 32 MB MP3 Player",5.0
20,"RCA RD1000 Kazoo 32 MB MP3 Player",4.0
21,"Oregon Scientific MP210/BL512C 512 MB Micro Thin Card-Sized MP3 Player with FM & Voice Recorder",4.0
22,"Oregon Scientific MP210/BL512C 512 MB Micro Thin Card-Sized MP3 Player with FM & Voice Recorder",1.0
23,"Oregon Scientific MP210/BL512C 512 MB Micro Thin Card-Sized MP3 Player with FM & Voice Recorder",1.0
24,"Oregon Scientific MP210/BL512C 512 MB Micro Thin Card-Sized MP3 Player with FM & Voice Recorder",3.0
25,"Oregon Scientific MP210/BL512C 512 MB Micro Thin Card-Sized MP3 Player with FM & Voice Recorder",5.0
26,"Creative Zen Micro 5 GB MP3 Player Pink",4.0
27,"Creative Zen Micro 5 GB MP3 Player Pink",3.0
28,"Creative Zen Micro 5 GB MP3 Player Pink",3.0
29,"Creative Zen Micro 5 GB MP3 Player Pink",3.0
30,"Creative Zen Micro 5 GB MP3 Player Pink",4.0
31,"Creative Zen Micro 5 GB MP3 Player Pink",5.0
32,"Creative Zen Micro 5 GB MP3 Player Pink",1.0
33,"Creative Zen Micro 5 GB MP3 Player Pink",5.0
34,"Creative Zen Micro 5 GB MP3 Player Pink",5.0
35,"Creative Zen Micro 5 GB MP3 Player Pink",4.0
36,"Creative Zen Micro 5 GB MP3 Player Pink",1.0
37,"Creative Zen Micro 5 GB MP3 Player Pink",4.0
38,"RCA Lyra RD2765  5 GB Digital Jukebox with Color LCD Screen",3.0
39,"RCA Lyra RD2765  5 GB Digital Jukebox with Color LCD Screen",5.0
40,"RCA Lyra RD2765  5 GB Digital Jukebox with Color LCD Screen",4.0
41,"RCA Lyra RD2765  5 GB Digital Jukebox with Color LCD Screen",1.0
42,"RCA Lyra RD2765  5 GB Digital Jukebox with Color LCD Screen",2.0
43,"RCA Lyra RD2765  5 GB Digital Jukebox with Color LCD Screen",5.0
44,"RCA Lyra RD2765  5 GB Digital Jukebox with Color LCD Screen",1.0
45,"RCA Lyra RD2765  5 GB Digital Jukebox with Color LCD Screen",2.0
46,"RCA Lyra RD2765  5 GB Digital Jukebox with Color LCD Screen",1.0
47,"RCA Lyra RD2765  5 GB Digital Jukebox with Color LCD Screen",3.0
48,"iRiver PMC120 20 GB Portable Media Center",1.0
49,"iRiver PMC120 20 GB Portable Media Center",1.0
